Pokedex Number,Pokemon Name,Alternate Form Name,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Primary Egg Group,Secondary Egg Group,Egg Cycle Count
1,Bulbasaur,NULL,NULL,0.7,6.9,Grass,Poison,87.5,12.5,50,Red,45,49,49,65,65,45,318,0,0,0,1,0,0,1,45,Medium Slow,1059860,Monster,Grass,20
2,Ivysaur,NULL,NULL,1.0,13.0,Grass,Poison,87.5,12.5,50,Red,60,62,63,80,80,60,405,0,0,0,1,1,0,2,45,Medium Slow,1059860,Monster,Grass,20
3,Venusaur,NULL,NULL,2.0,100.0,Grass,Poison,87.5,12.5,50,Red,80,82,83,100,100,80,525,0,0,0,2,1,0,3,45,Medium Slow,1059860,Monster,Grass,20
3,Venusaur,Mega,NULL,2.4,155.5,Grass,Poison,87.5,12.5,70,X,80,100,123,122,120,80,625,0,0,0,2,1,0,3,45,Medium Slow,1059860,Monster,Grass,20
4,Charmander,NULL,NULL,0.6,8.5,Fire,NULL,87.5,12.5,50,Red,39,52,43,60,50,65,309,0,0,0,0,0,1,1,45,Medium Slow,1059860,Monster,Dragon,20
5,Charmeleon,NULL,NULL,1.1,19.0,Fire,NULL,87.5,12.5,50,Red,58,64,58,80,65,80,405,0,0,0,1,0,1,2,45,Medium Slow,1059860,Monster,Dragon,20
6,Charizard,NULL,NULL,1.7,90.5,Fire,Flying,87.5,12.5,50,Red,78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,Medium Slow,1059860,Monster,Dragon,20
6,Charizard,Mega X,NULL,1.7,110.5,Fire,Dragon,87.5,12.5,70,X,78,130,111,130,85,100,634,0,0,0,3,0,0,3,45,Medium Slow,1059860,Monster,Dragon,20
6,Charizard,Mega Y,NULL,1.7,100.5,Fire,Flying,87.5,12.5,70,X,78,104,78,159,115,100,634,0,0,0,3,0,0,3,45,Medium Slow,1059860,Monster,Dragon,20
7,Squirtle,NULL,NULL,0.5,9.0,Water,NULL,87.5,12.5,50,Red,44,48,65,50,64,43,314,0,0,1,0,0,0,1,45,Medium Slow,1059860,Monster,Water 1,20
8,Wartortle,NULL,NULL,1.0,22.5,Water,NULL,87.5,12.5,50,Red,59,63,80,65,80,58,405,0,0,1,0,1,0,2,45,Medium Slow,1059860,Monster,Water 1,20
9,Blastoise,NULL,NULL,1.6,85.5,Water,NULL,87.5,12.5,50,Red,79,83,100,85,105,78,530,0,0,0,0,3,0,3,45,Medium Slow,1059860,Monster,Water 1,20
9,Blastoise,Mega,NULL,1.6,101.1,Water,NULL,87.5,12.5,70,X,79,103,120,135,115,78,630,0,0,0,0,3,0,3,45,Medium Slow,1059860,Monster,Water 1,20
10,Caterpie,NULL,NULL,0.3,2.9,Bug,NULL,50.0,50.0,50,Red,45,30,35,20,20,45,195,1,0,0,0,0,0,1,255,Medium Fast,1000000,Bug,NULL,15
11,Metapod,NULL,NULL,0.7,9.9,Bug,NULL,50.0,50.0,50,Red,50,20,55,25,25,30,205,0,0,2,0,0,0,2,120,Medium Fast,1000000,Bug,NULL,15
12,Butterfree,NULL,NULL,1.1,32.0,Bug,Flying,50.0,50.0,50,Red,60,45,50,90,80,70,395,0,0,0,2,1,0,3,45,Medium Fast,1000000,Bug,NULL,15
13,Weedle,NULL,NULL,0.3,3.2,Bug,Poison,50.0,50.0,50,Red,40,35,30,20,20,50,195,0,0,0,0,0,1,1,255,Medium Fast,1000000,Bug,NULL,15
14,Kakuna,NULL,NULL,0.6,10.0,Bug,Poison,50.0,50.0,50,Red,45,25,50,25,25,35,205,0,0,2,0,0,0,2,120,Medium Fast,1000000,Bug,NULL,15
15,Beedrill,NULL,NULL,1.0,29.5,Bug,Poison,50.0,50.0,50,Red,65,90,40,45,80,75,395,0,2,0,0,1,0,3,45,Medium Fast,1000000,Bug,NULL,15
15,Beedrill,Mega,NULL,1.4,40.5,Bug,Poison,50.0,50.0,70,Omega Ruby,65,150,40,15,80,145,495,0,2,0,0,1,0,3,45,Medium Fast,1000000,Bug,NULL,15
16,Pidgey,NULL,NULL,0.3,1.8,Normal,Flying,50.0,50.0,50,Red,40,45,40,35,35,56,251,0,0,0,0,0,1,1,255,Medium Slow,1059860,Flying,NULL,15
17,Pidgeotto,NULL,NULL,1.1,30.0,Normal,Flying,50.0,50.0,50,Red,63,60,55,50,50,71,349,0,0,0,0,0,2,2,120,Medium Slow,1059860,Flying,NULL,15
18,Pidgeot,NULL,NULL,1.5,39.5,Normal,Flying,50.0,50.0,50,Red,83,80,75,70,70,101,479,0,0,0,0,0,3,3,45,Medium Slow,1059860,Flying,NULL,15
18,Pidgeot,Mega,NULL,2.2,50.5,Normal,Flying,50.0,50.0,70,Omega Ruby,83,80,80,135,80,121,579,0,0,0,0,0,3,3,45,Medium Slow,1059860,Flying,NULL,15
19,Rattata,NULL,NULL,0.3,3.5,Normal,NULL,50.0,50.0,50,Red,30,56,35,25,35,72,253,0,0,0,0,0,1,1,255,Medium Fast,1000000,Field,NULL,15
19,Rattata,Alola,NULL,0.3,3.8,Dark,Normal,50.0,50.0,70,Sun,30,56,35,25,35,72,253,0,0,0,0,0,1,1,255,Medium Fast,1000000,Field,NULL,15
20,Raticate,NULL,NULL,0.7,18.5,Normal,NULL,50.0,50.0,50,Red,55,81,60,50,70,97,413,0,0,0,0,0,2,2,127,Medium Fast,1000000,Field,NULL,15
20,Raticate,Alola,NULL,0.7,25.5,Dark,Normal,50.0,50.0,70,Sun,75,71,70,40,80,77,413,0,0,0,0,0,2,2,127,Medium Fast,1000000,Field,NULL,15
21,Spearow,NULL,NULL,0.3,2.0,Normal,Flying,50.0,50.0,50,Red,40,60,30,31,31,70,262,0,0,0,0,0,1,1,255,Medium Fast,1000000,Flying,NULL,15
22,Fearow,NULL,NULL,1.2,38.0,Normal,Flying,50.0,50.0,50,Red,65,90,65,61,61,100,442,0,0,0,0,0,2,2,90,Medium Fast,1000000,Flying,NULL,15
23,Ekans,NULL,NULL,2.0,6.9,Poison,NULL,50.0,50.0,50,Red,35,60,44,40,54,55,288,0,1,0,0,0,0,1,255,Medium Fast,1000000,Field,Dragon,20
24,Arbok,NULL,NULL,3.5,65.0,Poison,NULL,50.0,50.0,50,Red,60,95,69,65,79,80,448,0,2,0,0,0,0,2,90,Medium Fast,1000000,Field,Dragon,20
25,Pikachu,NULL,NULL,0.4,6.0,Electric,NULL,50.0,50.0,50,Red,35,55,40,50,50,90,320,0,0,0,0,0,2,2,190,Medium Fast,1000000,Field,Fairy,10
25,Pikachu,Starter,NULL,0.4,6.0,Electric,NULL,50.0,50.0,70,Let's Go Pikachu,45,80,50,75,60,120,430,0,0,0,0,0,2,2,190,Medium Fast,1000000,Field,Fairy,10
26,Raichu,NULL,NULL,0.8,30.0,Electric,NULL,50.0,50.0,50,Red,60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,Field,Fairy,10
26,Raichu,NULL,NULL,0.8,30.0,Electric,NULL,50.0,50.0,50,Red,60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,Field,Fairy,10
26,Raichu,NULL,NULL,0.8,30.0,Electric,NULL,50.0,50.0,50,Red,60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,Field,Fairy,10
26,Raichu,Alola,NULL,0.7,21.0,Electric,Psychic,50.0,50.0,50,Sun,60,85,50,95,85,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,Field,Fairy,10
26,Raichu,Alola,NULL,0.7,21.0,Electric,Psychic,50.0,50.0,50,Sun,60,85,50,95,85,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,Field,Fairy,10
27,Sandshrew,NULL,NULL,0.6,12.0,Ground,NULL,50.0,50.0,50,Red,50,75,85,20,30,40,300,0,0,1,0,0,0,1,255,Medium Fast,1000000,Field,NULL,20
27,Sandshrew,Alola,NULL,0.7,40.0,Ice,Steel,50.0,50.0,50,Sun,50,75,90,10,35,40,300,0,0,1,0,0,0,1,255,Medium Fast,1000000,Field,NULL,20
28,Sandslash,NULL,NULL,1.0,29.5,Ground,NULL,50.0,50.0,50,Red,75,100,110,45,55,65,450,0,0,2,0,0,0,2,90,Medium Fast,1000000,Field,NULL,20
28,Sandslash,Alola,NULL,1.2,55.0,Ice,Steel,50.0,50.0,50,Sun,75,100,120,25,65,65,450,0,0,2,0,0,0,2,90,Medium Fast,1000000,Field,NULL,20
29,Nidoran (Female),NULL,NULL,0.4,7.0,Poison,NULL,0.0,100.0,50,Red,55,47,52,40,40,41,275,1,0,0,0,0,0,1,235,Medium Slow,1059860,Monster,Field,20
30,Nidorina,NULL,NULL,0.8,20.0,Poison,NULL,0.0,100.0,50,Red,70,62,67,55,55,56,365,2,0,0,0,0,0,2,120,Medium Slow,1059860,No Eggs Discovered,NULL,20
31,Nidoqueen,NULL,NULL,1.3,60.0,Poison,Ground,0.0,100.0,50,Red,90,92,87,75,85,76,505,3,0,0,0,0,0,3,45,Medium Slow,1059860,No Eggs Discovered,NULL,20
32,Nidoran (Male),NULL,NULL,0.5,9.0,Poison,NULL,100.0,0.0,50,Red,46,57,40,40,40,50,273,0,1,0,0,0,0,1,235,Medium Slow,1059860,Monster,Field,20
33,Nidorino,NULL,NULL,0.9,19.5,Poison,NULL,100.0,0.0,50,Red,61,72,57,55,55,65,365,0,2,0,0,0,0,2,120,Medium Slow,1059860,Monster,Field,20
34,Nidoking,NULL,NULL,1.4,62.0,Poison,Ground,100.0,0.0,50,Red,81,102,77,85,75,85,505,0,3,0,0,0,0,3,45,Medium Slow,1059860,Monster,Field,20
35,Clefairy,NULL,NULL,0.6,7.5,Fairy,NULL,25.0,75.0,140,Red,70,45,48,60,65,35,323,2,0,0,0,0,0,2,150,Fast,800000,Fairy,NULL,20
36,Clefable,NULL,NULL,1.3,40.0,Fairy,NULL,25.0,75.0,140,Red,95,70,73,95,90,60,483,3,0,0,0,0,0,3,25,Fast,800000,Fairy,NULL,10
37,Vulpix,NULL,NULL,0.6,9.9,Fire,NULL,25.0,75.0,50,Red,38,41,40,50,65,65,299,0,0,0,0,0,1,1,190,Medium Fast,1000000,Field,NULL,20
37,Vulpix,Alola,NULL,0.6,9.9,Ice,NULL,25.0,75.0,50,Sun,38,41,40,50,65,65,299,0,0,0,0,0,1,1,190,Medium Fast,1000000,Field,NULL,20
38,Ninetales,NULL,NULL,1.1,19.9,Fire,NULL,25.0,75.0,50,Red,73,76,75,81,100,100,505,0,0,0,0,1,1,2,75,Medium Fast,1000000,Field,NULL,20
38,Ninetales,Alola,NULL,1.1,19.9,Ice,Fairy,25.0,75.0,50,Sun,73,67,75,81,100,109,505,0,0,0,0,0,2,2,75,Medium Fast,1000000,Field,NULL,20
39,Jigglypuff,NULL,NULL,0.5,5.5,Normal,Fairy,25.0,75.0,50,Red,115,45,20,45,25,20,270,2,0,0,0,0,0,2,170,Fast,800000,Fairy,NULL,10
40,Wigglytuff,NULL,NULL,1.0,12.0,Normal,Fairy,25.0,75.0,50,Red,140,70,45,85,50,45,435,3,0,0,0,0,0,3,50,Fast,800000,Fairy,NULL,10
41,Zubat,NULL,NULL,0.8,7.5,Poison,Flying,50.0,50.0,50,Red,40,45,35,30,40,55,245,0,0,0,0,0,1,1,255,Medium Fast,1000000,Flying,NULL,15
42,Golbat,NULL,NULL,1.6,55.0,Poison,Flying,50.0,50.0,50,Red,75,80,70,65,75,95,460,0,0,0,0,0,2,2,90,Medium Fast,1000000,Flying,NULL,15
43,Oddish,NULL,NULL,0.5,5.4,Grass,Poison,50.0,50.0,50,Red,45,50,55,75,65,30,320,0,0,0,1,0,0,1,255,Medium Slow,1059860,Grass,NULL,20
44,Gloom,NULL,NULL,0.8,8.6,Grass,Poison,50.0,50.0,50,Red,60,65,70,85,75,40,395,0,0,0,2,0,0,2,120,Medium Slow,1059860,Grass,NULL,20
45,Vileplume,NULL,NULL,1.2,18.6,Grass,Poison,50.0,50.0,50,Red,75,80,85,110,90,50,490,0,0,0,3,0,0,3,45,Medium Slow,1059860,Grass,NULL,20
46,Paras,NULL,NULL,0.3,5.4,Bug,Grass,50.0,50.0,50,Red,35,70,55,45,55,25,285,0,1,0,0,0,0,1,190,Medium Fast,1000000,Bug,Grass,20
47,Parasect,NULL,NULL,1.0,29.5,Bug,Grass,50.0,50.0,50,Red,60,95,80,60,80,30,405,0,2,1,0,0,0,3,75,Medium Fast,1000000,Bug,Grass,20
48,Venonat,NULL,NULL,1.0,30.0,Bug,Poison,50.0,50.0,50,Red,60,55,50,40,55,45,305,0,0,0,0,1,0,1,190,Medium Fast,1000000,Bug,NULL,20
49,Venomoth,NULL,NULL,1.5,12.5,Bug,Poison,50.0,50.0,50,Red,70,65,60,90,75,90,450,0,0,0,1,0,1,2,75,Medium Fast,1000000,Bug,NULL,20
50,Diglett,NULL,NULL,0.2,0.8,Ground,NULL,50.0,50.0,50,Red,10,55,25,35,45,95,265,0,0,0,0,0,1,1,255,Medium Fast,1000000,Field,NULL,20
50,Diglett,Alola,NULL,0.2,1.0,Ground,Steel,50.0,50.0,50,Sun,10,55,30,35,45,90,265,0,0,0,0,0,1,1,255,Medium Fast,1000000,Field,NULL,20
51,Dugtrio,Alola,NULL,0.7,66.6,Ground,Steel,50.0,50.0,50,Sun,35,100,60,50,70,110,425,0,2,0,0,0,0,2,50,Medium Fast,1000000,Field,NULL,20
51,Dugtrio,NULL,NULL,0.7,33.3,Ground,NULL,50.0,50.0,50,Red,35,100,50,50,70,120,425,0,0,0,0,0,2,2,50,Medium Fast,1000000,Field,NULL,20
52,Meowth,NULL,NULL,0.4,4.2,Normal,NULL,50.0,50.0,50,Red,40,45,35,40,40,90,290,0,0,0,0,0,1,1,255,Medium Fast,1000000,Field,NULL,20
52,Meowth,Alola,NULL,0.4,4.2,Dark,NULL,50.0,50.0,50,Sun,40,35,35,50,40,90,290,0,0,0,0,0,1,1,255,Medium Fast,1000000,Field,NULL,20
